career,skills
Swift Developer,combine | swift | app store | swiftui | cloudkit | concurrency | localization | instruments | core data | push notifications | git | testing | ios development | rest api | macos development
Penetration Tester,vulnerability assessment | wireshark | cloud security | social engineering | web app security | networking | kali linux | metasploit | python | bash | linux | mobile security | report writing | ethical hacking | owasp | exploit development | active directory attacks
Helpdesk Technician,remote desktop | windows | documentation | escalation management | mobile device management | ticketing systems | office 365 | hardware | communication | user training | vpn | active directory | linux | itil | networking | customer service
IT Auditor,data analysis | it audit | documentation | risk management | cobit | networking | itil | compliance | stakeholder management | sox | gdpr | sql | communication | cloud | security fundamentals
Data Engineer,nosql | linux | hadoop | scala | dbt | git | cloud | docker | pandas | python | bigquery | etl | apache spark | snowflake | redshift | sql | data pipelines
Technical Project Manager,stakeholder management | resource planning | waterfall | risk management | scope management | technical background | jira | budgeting | leadership | reporting | project management | confluence | contract management | issue tracking | change management | quality assurance | communication | agile
Flutter Developer,rest api | clean architecture | internationalization | bloc pattern | animations | ui/ux design | dart | flutter | testing | push notifications | firebase | riverpod | state management | ci/cd | app store deployment | git
React Developer,rest api | testing | git | styled components | jest | react | context api | typescript | next.js | storybook | redux | react hooks | react query | javascript | performance optimization | html
AWS Solutions Architect,cost optimization | docker | serverless | high availability | lambda | security | ecs/eks | python | cloud architecture | kubernetes | disaster recovery | cloudformation | terraform | aws | migration | linux | s3
SOC Analyst,python | incident response | networking | cloud security | firewalls | linux | edr | siem | threat intelligence | wireshark | communication | osint | security fundamentals | malware analysis | forensics | log analysis
Site Reliability Engineer (SRE),on-call | kubernetes | prometheus | capacity planning | python | incident management | chaos engineering | linux | postmortem analysis | bash | runbooks | git | docker | monitoring | distributed systems | slo/sla | automation
Business Analyst,bpmn | communication | change management | uml diagrams | agile | presentation skills | sql | risk analysis | requirements gathering | power bi | documentation | stakeholder management | process mapping | data analysis | swot analysis | use case modeling
Salesforce Developer,community cloud | batch processing | git | cpq | integration | crm knowledge | visualforce | flow automation | einstein analytics | javascript | salesforce | soql | lightning web components | rest api | triggers | apex | salesforce administration | salesforce dx
AI Engineer,fine tuning | git | linux | cloud | prompt engineering | openai api | mlops | rag | docker | deep learning | pytorch | langchain | vector databases | llms | hugging face | fastapi | nlp
Graphic Designer,photography | presentation design | typography | layout design | logo design | digital marketing | illustration | packaging design | adobe illustrator | print design | icon design | social media design | motion graphics | adobe photoshop | color theory
IoT Engineer,mqtt | linux | edge computing | wireless communication | http | embedded c | raspberry pi | data processing | embedded systems | iot security | sensors | bluetooth | python | esp32 | cloud computing | wifi | arduino
Technical Writer,git | research skills | collaboration tools | information architecture | knowledge base | version control | api documentation | html | technical writing | user manuals | release notes | content strategy | diagramming tools | xml | editing | style guides | dita | markdown
Fintech Developer,java | security | spring boot | open banking | docker | regulatory compliance | fraud detection | swift messaging | pci-dss | iso 8583 | kafka | microservices | api gateway | payment systems | rest api | redis | sql | real-time processing
Ruby Developer,sidekiq | git | sql | ruby on rails | caching | docker | cloud | javascript | authentication | rspec | mvc architecture | api design | ruby | linux | css | rest api | html
SEO Specialist,google search console | content strategy | content writing | ahrefs/semrush | local seo | international seo | data analysis | reporting | technical seo | html | page speed optimization | e-commerce seo | schema markup | google analytics | competitive analysis | link building | wordpress
IT Support Specialist,customer service | active directory | vpn | networking | itil | documentation | ticketing systems | remote desktop | windows | office 365 | mobile device management | linux | communication | security awareness | hardware | powershell | troubleshooting | backup recovery
Penetration Tester,red team operations | report writing | owasp | mobile security | web app security | wireshark | exploit development | ethical hacking | linux | bash | python | vulnerability assessment | nmap | social engineering | cloud security
Prompt Engineer,communication | prompt engineering | rag | context management | llms | fine tuning | documentation | workflow automation | python | model selection | few-shot learning | chain-of-thought | output parsing | evaluation frameworks | data analysis | langchain | a/b testing | api integration
Cloud Security Engineer,compliance | python | iam | networking | siem | linux | dlp | threat detection | devsecops | container security | security automation | zero trust | terraform | encryption | incident response | cloud security | cspm
Rust Developer,cli development | rust | cryptography | c/c++ | performance optimization | networking | api design | cross-platform development | embedded systems | memory management | safety programming | testing | systems programming | git | async programming | documentation | webassembly
MLOps Engineer,apache airflow | mlflow | python | mlops | kubeflow | model monitoring | feature stores | bentoml | machine learning | prometheus | ci/cd | kubernetes | git | linux | dvc | grafana | docker | bash
Quantitative Analyst,numpy | python | machine learning | stochastic calculus | sql | time series analysis | probability theory | r | pandas | bloomberg terminal | financial modeling | risk management | derivatives | optimization | statistics | excel | vba
DevSecOps Engineer,sast/dast | security | compliance as code | risk assessment | policy as code | cloud | incident response | vulnerability scanning | git | python | kubernetes | owasp | devops | security automation | docker | terraform | ci/cd | container security
Automation Engineer,git | cucumber | rest api testing | bash | monitoring | performance testing | agile | robot framework | test frameworks | linux | docker | python | java | jenkins | testing
IT Support Specialist,powershell | itil | remote desktop | printer management | networking | email administration | security awareness | ticketing systems | customer service | vpn | communication | windows | troubleshooting | documentation | mobile device management
Technical Writer,xml | collaboration tools | git | dita | diagramming tools | editing | version control | markdown | user manuals | html | api documentation | information architecture | technical writing | release notes | research skills | documentation | communication
VLSI Engineer,synopsys | rtl design | verilog | design verification | asic design | semiconductor design | placement | floorplanning | fpga | static timing analysis | clock tree synthesis | cadence | routing | vhdl | logic synthesis
Full Stack Machine Learning Engineer,docker | testing | model deployment | monitoring | react | mlops | ci/cd | python | cloud | redis | rest api | deep learning | fastapi | typescript | feature engineering
Rust Developer,git | documentation | performance optimization | cargo | testing | c/c++ | api design | concurrency | networking | rust | systems programming | cryptography | embedded systems | webassembly | cross-platform development
Electrical Engineer,transformers | power electronics | testing and maintenance | electrical safety | simulink | power systems | electrical circuits | protection systems | instrumentation | renewable energy | circuit analysis | scada | motors | generators | electrical machines | matlab | control systems | plc
WordPress Developer,woocommerce | cdn | page builders | php | security hardening | git | theme development | rest api | html | performance optimization | plugin development | javascript | css | multisite | acf | mysql
WordPress Developer,gutenberg | woocommerce | git | plugin development | security hardening | theme development | page builders | rest api | acf | multisite | cdn | performance optimization | php | elementor | wordpress | javascript | html
Security Engineer,siem | python | security automation | bash | penetration testing | iam | kubernetes | git | security fundamentals | forensics | docker | network security | vulnerability management | zero trust | incident response | compliance | cryptography
Site Reliability Engineer (SRE),git | networking | cloud | on-call | linux | monitoring | chaos engineering | runbooks | incident management | docker | slo/sla | capacity planning | bash | kubernetes | postmortem analysis | python | prometheus
IT Support Specialist,powershell | printer management | customer service | networking | office 365 | windows | mobile device management | vpn | troubleshooting | remote desktop | security awareness | linux | hardware | itil | email administration | backup recovery
Penetration Tester,red team operations | burp suite | report writing | vulnerability assessment | exploit development | metasploit | web app security | networking | kali linux | nmap | social engineering | ethical hacking | cloud security | linux | active directory attacks | bash | owasp
Enterprise Architect,api design | security | documentation | digital transformation | technology roadmap | governance | togaf | change management | enterprise architecture | risk management | communication | system design | stakeholder management | data architecture | business strategy | integration patterns
Product Manager,user research | a/b testing | kpis | wireframing | sprint planning | product strategy | feature scoping | prioritization | customer interviews | data analysis | agile | communication | stakeholder management | sql | competitive analysis | roadmap planning | market research
Helpdesk Technician,remote desktop | hardware | escalation management | printer support | active directory | mobile device management | user training | security awareness | itil | troubleshooting | vpn | communication | documentation | office 365 | windows
Data Engineer,dbt | nosql | snowflake | scala | apache spark | git | docker | bigquery | pandas | etl | redshift | data warehousing | data pipelines | apache kafka | linux | hadoop | sql
Backend Developer,spring boot | graphql | git | sql | java | postgresql | microservices | redis | kafka | node.js | docker | linux | python | system design | message queues | websockets | authentication
Flutter Developer,platform channels | animations | clean architecture | rest api | state management | flavors | dart | bloc pattern | ui/ux design | riverpod | responsive layouts | ci/cd | push notifications | app store deployment | sqlite | git
Backend Developer,caching | python | redis | node.js | rest api | docker | system design | postgresql | git | kafka | websockets | mongodb | spring boot | message queues | authentication | java | linux | microservices
Ruby Developer,caching | sidekiq | mvc architecture | docker | postgresql | git | rest api | css | rspec | sql | cloud | api design | testing | html | ruby on rails | javascript
DevOps Engineer,elk stack | service mesh | terraform | nginx | jenkins | docker | monitoring | ci/cd | prometheus | git | grafana | helm | bash | security | ansible
Salesforce Developer,salesforce dx | cpq | crm knowledge | process builder | integration | community cloud | visualforce | einstein analytics | rest api | git | apex | salesforce administration | salesforce | lightning web components | metadata api
iOS Developer,xcode | swiftui | testflight | app store deployment | in-app purchase | combine | alamofire | concurrency | swift | rest api | core data | uikit | avfoundation | core location | cocoapods/spm | cloudkit
Robotics Engineer,simulation | electronics | slam | computer vision | control systems | linux | python | embedded systems | mathematics | sensor fusion | testing | machine learning | path planning | hardware integration | c++
Operations Research Analyst,simulation | sql | decision analysis | data analysis | python | mathematical modeling | excel | solver | operations research | optimization | integer programming | mathematics | probability | r | forecasting | statistics
Go Developer,message queues | networking | concurrency | linux | redis | rest api | ci/cd | testing | sql | docker | security | cloud | bash | git | performance optimization
PHP Developer,php | git | caching | eloquent orm | queue jobs | composer | html | laravel | rest api | redis | vue.js | css | blade templates | linux | api authentication | mysql | javascript | phpunit
Scrum Master,jira | team building | coaching | facilitation | safe framework | communication | conflict resolution | kanban | risk management | agile | confluence | retrospectives | burn-down charts | sprint planning | leadership | servant leadership | impediment removal
QA Engineer,playwright | jmeter | python | agile | api testing | selenium | test case design | git | bdd | bug reporting | automation testing | test planning | security testing | ci/cd | manual testing | performance testing | sql | mobile testing
.NET Developer,rest api | unit testing | wpf | c# | entity framework | docker | ci/cd | dependency injection | blazor | grpc | kubernetes | design patterns | linq | .net | azure | microservices | git
Product Manager,product strategy | communication | data analysis | sprint planning | a/b testing | jira | kpis | user research | feature scoping | agile | go-to-market strategy | okrs | sql | prioritization | wireframing | market research | stakeholder management
Research Scientist (AI),paper writing | computer vision | benchmarking | data analysis | literature review | statistics | reproducibility | reinforcement learning | python | research | distributed training | deep learning | gpu programming | tensorflow | mathematics
Kubernetes Engineer,gitops | argocd | storage | service mesh | terraform | linux | python | kubernetes | performance tuning | docker | networking | ci/cd | operators | monitoring | istio | security
iOS Developer,concurrency | testflight | uikit | swiftui | core data | in-app purchase | arkit | alamofire | core location | app store deployment | rest api | cocoapods/spm | testing | combine | cloudkit | xcode | push notifications
iOS/Android Cross Platform Developer,performance optimization | firebase | ci/cd | javascript | app store deployment | state management | deep linking | typescript | ui/ux design | testing | debugging | flutter | offline storage | react native | animations
Frontend Developer,testing | pwa | react | typescript | next.js | performance optimization | rest api | vue.js | webpack | angular | sass | accessibility | git | css | web security | redux | graphql | responsive design
Cloud Engineer,multi-cloud | networking | monitoring | ci/cd | cdn | auto scaling | python | kubernetes | ansible | load balancing | iam | serverless | dns | cost optimization | cloud
Java Developer,spring security | maven | kafka | junit | reactive programming | java | cloud | docker | microservices | rest api | redis | design patterns | multithreading | hibernate | sql
SOC Analyst,log analysis | linux | ticketing systems | ioc analysis | vulnerability scanning | python | wireshark | incident response | malware analysis | networking | communication | playbook development | threat intelligence | cloud security | edr | osint | firewalls | siem
AR/VR Developer,webxr | spatial computing | unity | physics simulation | performance optimization | gesture recognition | c# | computer vision | hololens sdk | unreal engine | haptics | ux for xr | openxr | 3d modeling | xr development | 3d audio
Security Engineer,forensics | compliance | python | iam | cloud security | git | bash | docker | linux | siem | threat modeling | kubernetes | vulnerability management | incident response | cryptography | zero trust | network security | security automation
Frontend Developer,redux | javascript | react | rest api | responsive design | graphql | vue.js | pwa | accessibility | webpack | git | next.js | css | web security | sass
IT Support Specialist,networking | remote desktop | active directory | printer management | vpn | office 365 | security awareness | linux | mobile device management | email administration | communication | itil | ticketing systems | powershell | customer service | troubleshooting
Machine Learning Engineer,data pipelines | python | mlops | deep learning | kubernetes | scikit-learn | spark | git | statistics | feature engineering | rest api | docker | machine learning | cloud | pytorch
Digital Marketing Tech,marketing automation | seo | conversion optimization | google analytics | hubspot | attribution modeling | a/b testing | sem | facebook ads | social media marketing | sql | crm | salesforce | utm tracking | content strategy
Site Reliability Engineer,on-call practices | monitoring | postmortem | kubernetes | slo/sla | networking | distributed systems | cloud | incident management | linux | docker | runbooks | chaos engineering | grafana | capacity planning
Cloud Engineer,networking | cloud security | terraform | cloud | iam | kubernetes | ansible | auto scaling | cdn | cost optimization | python | monitoring | serverless | linux | vpc | multi-cloud
IT Auditor,itil | change management | risk management | vulnerability assessment | business processes | data analysis | gdpr | communication | reporting | security fundamentals | stakeholder management | sox | cloud | documentation | it audit | compliance | internal controls | networking
Platform Engineer,kubernetes | documentation | networking | monitoring | terraform | internal tooling | docker | helm | developer experience | ansible | security | python | cost optimization | service mesh | ci/cd
CTO,security | r&d management | strategic planning | agile | system architecture | budget management | mergers & acquisitions | engineering culture | product strategy | metrics | stakeholder management | communication | recruitment | technical leadership | innovation | technology roadmap | cloud | vendor management
Site Reliability Engineer (SRE),on-call | prometheus | monitoring | runbooks | distributed systems | grafana | postmortem analysis | linux | slo/sla | capacity planning | git | networking | kubernetes | python | incident management | cloud
Product Designer,ui design | user flows | invision | data analysis | design sprints | metrics | sketch | html/css | stakeholder management | accessibility | communication | ux research | a/b testing | motion design | figma | design systems | product strategy
Low Code Developer,powerbi | power platform | testing | power automate | workflow design | data integration | ui design | power apps | logic apps | sql | api connectors | azure | javascript | rest api | sharepoint | formula language | process automation | documentation
Fullstack Developer,mongodb | css | next.js | html | redis | ci/cd | sql | rest api | websockets | javascript | cloud | graphql | docker | git | typescript | react
Research Scientist (AI),pytorch | paper writing | data analysis | tensorflow | reinforcement learning | nlp | reproducibility | python | experimentation | statistics | deep learning | machine learning | benchmarking | mathematics | computer vision | literature review | research
Helpdesk Technician,communication | itil | security awareness | user training | hardware | vpn | troubleshooting | remote desktop | escalation management | networking | customer service | ticketing systems | linux | mobile device management | documentation | active directory | printer support
AWS Solutions Architect,rds | networking | linux | well-architected framework | ecs/eks | lambda | serverless | disaster recovery | docker | cloudformation | cost optimization | python | aws | high availability | terraform | s3 | security
Firmware Engineer,timers | device drivers | uart | gpio | spi | c++ | arm | memory management | firmware development | debugging | embedded linux | c | can | embedded c | i2c
IT Auditor,communication | gdpr | networking | sox | sql | it audit | data analysis | cobit | stakeholder management | reporting | business processes | risk management | compliance | documentation | change management
WordPress Developer,gutenberg | plugin development | cdn | css | javascript | git | rest api | html | theme development | mysql | performance optimization | acf | php | wordpress | woocommerce | security hardening | page builders
Frontend Developer,redux | web security | performance optimization | pwa | testing | webpack | git | sass | graphql | responsive design | accessibility | html | vue.js | rest api | angular | react
Prompt Engineer,api integration | workflow automation | output parsing | rag | fine tuning | python | langchain | context management | documentation | prompt engineering | data analysis | few-shot learning | model selection | nlp | llms | chain-of-thought | a/b testing | evaluation frameworks
CTO,metrics | technical leadership | strategic planning | communication | r&d management | mergers & acquisitions | budget management | stakeholder management | regulatory compliance | vendor management | product strategy | innovation | agile | team building | security | technology roadmap | system architecture
Swift Developer,swift | instruments | rest api | accessibility | in-app purchase | combine | core data | git | app store | package manager | xcode | cloudkit | macos development | push notifications | concurrency | testing | ios development | swiftui
WordPress Developer,multisite | performance optimization | css | page builders | cdn | php | html | acf | mysql | rest api | wordpress | woocommerce | javascript | plugin development | security hardening | gutenberg | elementor
SEO Specialist,schema markup | content writing | google search console | competitive analysis | html | link building | wordpress | content strategy | e-commerce seo | core web vitals | local seo | google analytics | page speed optimization | keyword research | seo
IT Support Specialist,linux | communication | email administration | vpn | security awareness | ticketing systems | active directory | printer management | troubleshooting | networking | windows | backup recovery | remote desktop | hardware | office 365 | powershell | customer service | documentation
Graphic Designer,brand identity | color theory | logo design | packaging design | icon design | adobe after effects | print design | presentation design | social media design | layout design | adobe indesign | digital marketing | illustration | figma | motion graphics | photography | typography
Product Manager,prioritization | product strategy | communication | okrs | jira | feature scoping | user research | kpis | a/b testing | roadmap planning | stakeholder management | data analysis | competitive analysis | go-to-market strategy | customer interviews | wireframing | market research
React Native Developer,firebase | react native | expo | git | react | navigation | native modules | ci/cd | debugging | app store deployment | animations | testing | javascript | rest api | deep linking
Swift Developer,macos development | push notifications | accessibility | localization | swift | instruments | git | cloudkit | combine | xcode | in-app purchase | core data | package manager | testing | concurrency | swiftui | objective-c | ios development
COBOL Developer,db2 | legacy migration | cobol | documentation | vsam | rehosting | racf | testing | mq series | cics | jcl | copybooks | file handling | debugging | batch processing | z/os
Salesforce Developer,batch processing | rest api | visualforce | lightning web components | cpq | salesforce | community cloud | process builder | salesforce dx | einstein analytics | flow automation | soql | metadata api | crm knowledge | apex | javascript | integration
SEO Specialist,content writing | content strategy | competitive analysis | e-commerce seo | seo | wordpress | google analytics | technical seo | ahrefs/semrush | core web vitals | local seo | page speed optimization | html | reporting | link building | keyword research | google search console | schema markup
Systems Administrator,dhcp | networking | email servers | monitoring | virtualization | active directory | ldap | security | patch management | dns | windows server | nfs/smb | powershell | vmware | capacity planning | bash | backup recovery
Helpdesk Technician,documentation | remote desktop | itil | mobile device management | vpn | security awareness | communication | troubleshooting | customer service | user training | hardware | active directory | office 365 | escalation management | windows | ticketing systems | email administration | networking
Cloud Data Engineer,data quality | monitoring | ci/cd | redshift | dbt | snowflake | data pipelines | delta lake | data warehousing | cloud | bigquery | etl | terraform | docker | spark | python | sql
Cloud Data Engineer,snowflake | delta lake | ci/cd | docker | kafka | data quality | git | dbt | spark | data pipelines | cloud | bigquery | data warehousing | terraform | airflow | etl
ERP Developer,integration | sql | debugging | change management | cloud | bapi/rfc | erp systems | documentation | java | sap fiori | abap | smart forms | user training | odata | sap modules | testing
Application Security Engineer,javascript | authentication | web app security | sdlc security | fuzzing | threat modeling | api security | authorization | docker | git | penetration testing | sast/dast | supply chain security | ci/cd security | owasp | security architecture
Firmware Engineer,timers | can | gpio | device drivers | firmware development | uart | memory management | embedded c | rtos | git | microcontrollers | arm | debugging | i2c | hardware interfaces | c
Network Engineer,tcp/ip | mpls | wireshark | cisco | cloud networking | linux | switching | network security | networking | dns | routing protocols | ospf | bgp | qos | network automation | sd-wan
Ruby Developer,sidekiq | ruby | postgresql | docker | testing | rspec | caching | api design | mvc architecture | ruby on rails | git | css | linux | cloud | authentication | html | rest api | sql
Full Stack Machine Learning Engineer,typescript | testing | cloud | sql | model deployment | deep learning | ci/cd | git | mlops | kubernetes | postgresql | docker | monitoring | rest api | redis
IT Support Specialist,documentation | security awareness | hardware | networking | active directory | ticketing systems | customer service | backup recovery | office 365 | email administration | remote desktop | communication | linux | troubleshooting | windows | mobile device management | printer management
Graphic Designer,icon design | illustration | layout design | logo design | packaging design | adobe indesign | print design | adobe after effects | color theory | mockup design | typography | photography | brand identity | motion graphics | presentation design | adobe illustrator | adobe photoshop
AR/VR Developer,gesture recognition | spatial computing | 3d modeling | ux for xr | performance optimization | xr development | shader programming | animation | webxr | hololens sdk | computer vision | c# | unity | arkit/arcore | physics simulation
iOS Developer,in-app purchase | avfoundation | swiftui | app store deployment | testflight | cloudkit | git | core data | xcode | cocoapods/spm | concurrency | combine | alamofire | arkit | rest api | testing | core location
Quantitative Analyst,excel | statistics | portfolio management | mathematics | monte carlo simulation | probability theory | risk management | bloomberg terminal | optimization | r | financial modeling | machine learning | python | derivatives | stochastic calculus
Frontend Developer,javascript | vue.js | sass | react | typescript | performance optimization | css | graphql | angular | redux | responsive design | web security | webpack | testing | pwa | rest api
Computer and Information Research Scientist,scientific computing | experiment design | academic research | data structures | technical writing | neural networks | tensorflow | deep learning | data analysis | nlp | computer vision | machine learning | python | statistics | algorithms | mathematics | research methods
AR/VR Developer,ux for xr | unreal engine | 3d modeling | gesture recognition | c# | computer vision | physics simulation | animation | performance optimization | webxr | 3d audio | xr development | spatial computing | shader programming | oculus sdk | haptics | arkit/arcore
Automation Engineer,robot framework | rest api testing | ansible | linux | selenium | bash | git | python | reporting | bdd | java | testing | jenkins | cucumber | monitoring
AI Engineer,mlops | hugging face | fine tuning | prompt engineering | linux | vector databases | git | python | docker | cloud | transformers | pytorch | rag | deep learning | fastapi | openai api
IT Support Specialist,customer service | documentation | email administration | printer management | backup recovery | networking | security awareness | ticketing systems | office 365 | linux | windows | hardware | itil | communication | remote desktop | mobile device management | vpn | powershell
Cloud Data Engineer,docker | redshift | snowflake | git | cloud | terraform | dbt | data quality | python | bigquery | ci/cd | data pipelines | delta lake | etl | airflow
Solutions Engineer,rest api | scripting | technical sales | sql | troubleshooting | presentation skills | pre-sales | communication | python | use case development | networking | solution architecture | customer success | security | cloud | integration | stakeholder management
Product Manager,okrs | jira | agile | market research | wireframing | communication | feature scoping | go-to-market strategy | customer interviews | user research | roadmap planning | sprint planning | competitive analysis | sql | a/b testing | prioritization | data analysis
Java Developer,sql | kubernetes | reactive programming | junit | gradle | docker | maven | git | multithreading | hibernate | jpa | microservices | spring security | kafka | spring boot | java
Python Developer,redis | python | flask | celery | django | pandas | linux | sql | rest api | sqlalchemy | pytest | pydantic | docker | numpy | fastapi
Electrical Engineer,simulink | plc | motors | instrumentation | circuit analysis | protection systems | scada | transformers | control systems | power systems | electrical circuits | renewable energy | electrical safety | generators | testing and maintenance
Backend Developer,java | git | redis | message queues | linux | docker | python | graphql | caching | spring boot | rest api | postgresql | system design | mongodb | websockets
Data Engineer,cloud | scala | hadoop | bigquery | dbt | etl | linux | redshift | data pipelines | docker | git | apache airflow | snowflake | sql | pandas | apache kafka | data warehousing | python
Digital Marketing Tech,seo | reporting | marketing automation | a/b testing | social media marketing | sql | conversion optimization | salesforce | data analysis | crm | email marketing | ppc advertising | html/css | content strategy | sem
Firmware Engineer,device drivers | memory management | git | debugging | i2c | timers | gpio | microcontrollers | embedded c | interrupts | c++ | embedded linux | firmware development | can | c | spi | arm | uart
Python Developer,git | pytest | rest api | django | asyncio | redis | python | sql | docker | linux | pandas | testing | sqlalchemy | postgresql | pydantic | flask | numpy
Blockchain Developer,rust | defi | ethers.js | javascript | git | nfts | tokenomics | python | solidity | security auditing | erc standards | truffle | cryptography | layer 2 solutions | hardhat | cross-chain protocols | ethereum
Site Reliability Engineer,incident management | kubernetes | monitoring | python | git | runbooks | automation | grafana | docker | postmortem | slo/sla | on-call practices | networking | cloud | distributed systems
.NET Developer,ci/cd | design patterns | wpf | grpc | azure | dependency injection | entity framework | c# | git | docker | blazor | microservices | asp.net | linq | unit testing | kubernetes
AR/VR Developer,animation | spatial computing | performance optimization | webxr | physics simulation | openxr | arkit/arcore | c# | unity | shader programming | gesture recognition | ux for xr | oculus sdk | xr development | hololens sdk | unreal engine | computer vision | 3d audio
Cloud Engineer,linux | ansible | kubernetes | docker | python | serverless | cdn | cloud | monitoring | cloud security | terraform | networking | multi-cloud | cost optimization | auto scaling
WordPress Developer,php | wordpress | seo basics | javascript | gutenberg | css | security hardening | git | theme development | plugin development | page builders | cdn | elementor | acf | html | rest api
React Developer,react | html | react query | javascript | react hooks | graphql | performance optimization | accessibility | jest | typescript | git | webpack | next.js | redux | rest api
Technical Project Manager,agile | stakeholder management | reporting | resource planning | schedule management | change management | ms project | technical background | scope management | jira | leadership | project management | issue tracking | quality assurance | budgeting | confluence | risk management | communication
Fullstack Developer,next.js | git | websockets | css | ci/cd | cloud | authentication | html | docker | typescript | mongodb | redis | testing | graphql | rest api | sql | react
Computer Vision Engineer,tensorrt | deep learning | python | cnns | opencv | image segmentation | gans | cuda | ros | 3d vision | computer vision | pytorch | yolo | object detection | image processing | transfer learning
Security Engineer,zero trust | network security | threat modeling | penetration testing | iam | docker | cryptography | siem | compliance | linux | bash | forensics | python | kubernetes | cloud security | vulnerability management
GraphQL Developer,apollo | authentication | subscriptions | postgresql | javascript | redis | react | git | resolvers | schema design | graphql | node.js | federation | sql | dataloader | docker
Java Developer,kubernetes | git | cloud | multithreading | microservices | docker | maven | spring security | junit | redis | rest api | gradle | jpa | kafka | spring boot | hibernate | sql
R Developer,dplyr | excel | r markdown | statistical modeling | shiny | data visualization | statistics | time series | bioinformatics | reporting | etl | machine learning | data analysis | python | ggplot2
Automation Engineer,ansible | bash | robot framework | jenkins | java | linux | ci/cd | docker | python | git | bdd | agile | cucumber | selenium | monitoring | rest api testing
Prompt Engineer,api integration | fine tuning | a/b testing | bias mitigation | chain-of-thought | context management | llms | output parsing | python | documentation | evaluation frameworks | nlp | workflow automation | few-shot learning | model selection | rag | langchain
Machine Learning Engineer,spark | git | scikit-learn | pandas | cloud | machine learning | rest api | model evaluation | data pipelines | numpy | kubernetes | feature engineering | deep learning | docker | mlops
DevSecOps Engineer,container security | secret management | devops | kubernetes | owasp | terraform | policy as code | security | incident response | vulnerability scanning | security automation | git | ci/cd | linux | risk assessment | docker | python | cloud
Electronics Engineer,embedded systems | emi/emc | matlab | communication systems | electronics prototyping | signal processing | pcb design | soldering | spice | digital electronics | microcontrollers | technical documentation | embedded c | multimeter | analog electronics | sensors | testing and debugging
R Developer,reproducible research | git | statistical modeling | time series | python | reporting | sql | dplyr | bioinformatics | ggplot2 | tidyverse | r markdown | data analysis | etl | excel | shiny | machine learning | statistics
IoT Engineer,embedded systems | esp32 | raspberry pi | edge computing | wireless communication | embedded c | cloud computing | linux | data processing | python | aws iot | http | sensors | bluetooth | arduino | iot | wifi
React Developer,jest | styled components | html | performance optimization | accessibility | redux | storybook | context api | react | react query | testing | javascript | rest api | react hooks | typescript | webpack | next.js
Automation Engineer,python | bdd | robot framework | bash | ci/cd | performance testing | cucumber | monitoring | java | agile | selenium | ansible | rest api testing | reporting | test frameworks | git | jenkins | testing
Python Developer,celery | sql | pytest | pydantic | flask | redis | git | sqlalchemy | linux | numpy | rest api | asyncio | django | postgresql | pandas | python | docker
iOS/Android Cross Platform Developer,firebase | dart | ci/cd | app store deployment | push notifications | analytics | typescript | flutter | deep linking | react native | ui/ux design | performance optimization | offline storage | state management | rest api | animations
Firmware Engineer,gpio | hardware interfaces | timers | memory management | spi | microcontrollers | device drivers | interrupts | debugging | arm | git | embedded c | can | rtos | embedded linux | uart | i2c
Embedded Systems Engineer,iot protocols | electronics | device drivers | rtos | c | power optimization | memory management | pcb design | bootloaders | uart/spi/i2c | signal processing | assembly | jtag debugging | c++ | arm architecture | can bus | linux
Prompt Engineer,communication | fine tuning | workflow automation | rag | model selection | python | data analysis | a/b testing | prompt engineering | llms | documentation | few-shot learning | api integration | context management | evaluation frameworks | bias mitigation | nlp
Computer Vision Engineer,data augmentation | tensorflow | gans | computer vision | opencv | object detection | mathematics | point cloud | ros | 3d vision | image processing | cuda | yolo | image segmentation | tensorrt | transfer learning
Go Developer,redis | linux | go | cloud | rest api | monitoring | message queues | microservices | docker | testing | kubernetes | bash | ci/cd | git | concurrency | sql | networking | grpc
Cybersecurity Analyst,incident response | security auditing | malware analysis | siem | forensics | python | compliance | ids/ips | cloud security | firewalls | owasp | log analysis | threat intelligence | linux | risk assessment | vulnerability assessment
Business Analyst,documentation | risk analysis | visio | agile | communication | swot analysis | gap analysis | change management | power bi | sql | use case modeling | data analysis | stakeholder management | test case review | process mapping | uml diagrams | presentation skills
Site Reliability Engineer (SRE),runbooks | monitoring | grafana | python | on-call | chaos engineering | kubernetes | automation | capacity planning | distributed systems | prometheus | slo/sla | git | bash | networking | postmortem analysis | linux | incident management
React Developer,git | rest api | styled components | storybook | css | react query | javascript | redux | accessibility | typescript | html | webpack | graphql | react | jest | context api
Android Developer,room database | google play deployment | git | proguard | dagger/hilt | ci/cd | mvvm architecture | jetpack compose | java | testing | navigation component | coroutines | material design | notifications | workmanager | rest api | retrofit | android sdk
PHP Developer,redis | linux | html | blade templates | caching | mysql | rest api | api authentication | laravel | phpunit | docker | composer | php | queue jobs | git
Research Scientist (AI),computer vision | mathematics | reinforcement learning | experimentation | literature review | distributed training | benchmarking | tensorflow | paper writing | pytorch | reproducibility | collaboration | machine learning | research | nlp | gpu programming | python | data analysis
Fintech Developer,open banking | fraud detection | redis | pci-dss | microservices | swift messaging | spring boot | api gateway | rest api | iso 8583 | python | java | docker | security | sql | cryptography
